Frame,PWM,Meta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y,Pos Extr X,Pos Extr Y
114,58,0,0,1692011753462.676,31.98193359375,202.0,292.5,12.01,0,0.5,233.0,291.5,202.0,292.0
115,58,0,0,1692011753498.589,35.9130859375,189.5,293.0,12.51,0,0.5,220.5,291.5,190.0,293.0
116,58,0,0,1692011753530.517,31.927978515625,176.0,293.0,13.5,0,0.18733745120481599,206.5,292.5,177.0,293.5
117,58,0,0,1692011753563.407,32.889892578125,164.0,293.0,12.0,0,0.2797762684421215,195.0,292.5,162.5,293.0
118,58,0,0,1692011753598.604,35.197021484375,151.0,293.0,13.0,0,0.5,183.0,292.5,152.0,293.0
119,58,0,4,1692011753630.5,31.89599609375,139.0,293.0,12.0,0,0.5,170.5,292.5,138.0,293.0
120,58,0,0,1692011753662.552,32.052001953125,126.0,293.0,13.0,0,0.0,157.0,293.0,127.0,293.0
121,58,0,0,1692011753695.405,32.85302734375,114.0,291.5,12.093,0,0.5,145.0,293.5,113.0,293.0
122,58,0,0,1692011753727.456,32.051025390625,102.0,288.5,12.369,0,0.5,133.0,293.5,102.0,290.0
123,58,0,0,1692011753762.779,35.322998046875,91.0,284.0,11.885,0,1.1163126113029007,121.0,293.5,90.0,285.5
124,58,0,0,1692011753798.686,35.906982421875,81.0,278.5,11.413,0,1.6977493752543102,109.0,292.0,80.0,279.5
125,58,0,0,1692011753830.643,31.95703125,71.5,272.0,11.511,0,2.166621283845109,97.5,289.0,71.0,273.0
126,58,0,0,1692011753858.716,28.072998046875,64.0,264.5,10.607,0,3.482958236989649,86.5,285.5,62.0,265.5
127,58,0,0,1692011753895.168,36.451904296875,57.0,257.0,10.259,0,5.0169994039134265,76.5,281.5,56.5,257.0
128,58,0,0,1692011753930.022,34.85400390625,51.0,248.5,10.404,0,5.303300858899107,67.0,275.0,50.0,249.5
129,58,0,0,1692011753962.455,32.43310546875,45.5,241.0,9.301,0,6.7257084678344015,59.0,269.0,45.0,240.0
130,58,0,0,1692011753998.594,36.138916015625,40.0,232.5,10.124,0,5.994653199591519,53.0,261.5,40.0,233.5
131,58,0,0,1692011754030.721,32.126953125,36.5,223.5,9.657,0,6.151287441052327,47.0,253.5,34.5,224.0
132,58,0,0,1692011754062.552,31.8310546875,34.0,215.0,8.86,0,4.892190308191285,42.0,244.5,33.0,214.5
133,58,0,0,1692011754098.841,36.2890625,32.0,205.5,9.708,0,3.308894148776135,38.0,235.5,31.5,206.5
134,58,0,0,1692011754130.946,32.10498046875,30.0,196.5,9.22,0,3.5985735928955616,34.0,227.0,30.0,196.0
135,58,0,0,1692011754162.695,31.7490234375,30.0,186.5,10.0,0,2.7652299751171916,32.0,218.0,28.0,187.5
136,58,0,0,1692011754198.209,35.513916015625,30.5,176.5,10.012,0,2.472125772598106,30.0,208.0,30.0,176.5
137,58,0,0,1692011754231.627,33.41796875,32.0,167.0,9.618,0,2.1693045781865608,28.0,197.5,31.0,166.5
138,58,0,0,1692011754259.235,27.608154296875,34.0,157.5,9.708,0,2.0,28.0,188.0,33.5,157.5
139,58,0,0,1692011754295.223,35.98779296875,38.0,148.0,10.308,0,2.4219744217787733,28.0,178.0,36.0,148.0
140,58,0,0,1692011754327.14,31.9169921875,42.0,139.0,9.849,0,1.7415820704486207,30.0,168.5,42.0,138.5
141,58,0,0,1692011754359.161,32.02099609375,47.0,131.0,9.434,0,1.7510890889236543,32.0,158.5,46.0,130.0
142,58,0,0,1692011754395.286,36.125,53.0,123.5,9.605,0,3.298484500494128,34.0,149.0,52.0,123.0
143,58,0,0,1692011754427.031,31.7451171875,59.0,117.0,8.846,0,3.046038495400853,38.0,140.5,59.0,116.0
144,58,0,0,1692011754462.817,35.785888671875,69.0,110.5,11.927,0,1.7489965020104972,44.0,132.5,65.0,110.5
145,58,0,0,1692011754500.131,37.314208984375,75.0,105.0,8.139,0,2.0302589045518777,50.0,124.0,79.0,104.0
146,58,0,0,1692011754531.929,31.7978515625,85.0,100.5,10.966,0,2.204410333882468,56.0,117.0,81.0,99.5
147,58,0,0,1692011754563.799,31.8701171875,92.0,97.0,7.826,0,2.997435928274783,63.5,110.5,95.0,96.0
148,58,0,0,1692011754598.828,35.02880859375,104.0,94.0,12.369,0,2.365036199810718,71.5,105.0,99.0,93.5
149,58,0,0,1692011754630.413,31.585205078125,111.0,92.5,7.159,0,1.6414587093151953,81.0,100.5,116.0,91.0
150,58,0,0,1692011754660.612,30.198974609375,121.5,91.5,10.548,0,1.7888543819998253,89.0,96.5,118.0,91.0
151,58,,,,,,,,,,,,132.0,90.5
152,58,,,,,,,,,,,,,
153,58,,,,,,,,,,,,,
154,58,,,,,,,,,,,,,
155,58,,,,,,,,,,,,,
156,58,,,,,,,,,,,,,
157,58,,,,,,,,,,,,,
158,58,,,,,,,,,,,,,
159,58,0,0,1692011754960.948,300.3359375,217.0,92.5,95.505,,,,,,
160,58,0,0,1692011754995.043,34.094970703125,226.0,92.5,9.0,,,,,217.0,93.0
161,58,0,0,1692011755026.851,31.80810546875,237.5,92.5,11.5,,,,,235.0,92.5
162,58,0,0,1692011755059.064,32.212890625,248.0,92.0,10.512,,,,,249.0,92.5
163,58,0,0,1692011755095.466,36.402099609375,260.0,92.0,12.0,,,,,258.5,91.5
164,58,0,0,1692011755127.116,31.64990234375,271.0,92.0,11.0,0,0.09513029883090152,239.5,92.5,272.0,92.0
165,58,0,0,1692011755159.066,31.949951171875,283.0,92.0,12.0,0,0.0,250.5,92.0,282.0,92.0
166,58,0,0,1692011755195.741,36.675048828125,294.5,92.0,11.5,0,0.0,262.0,92.0,295.0,92.0
167,58,0,0,1692011755227.277,31.5361328125,306.5,92.0,12.0,0,0.0,274.0,92.0,306.0,92.0
168,58,0,0,1692011755258.801,31.52392578125,319.0,92.0,12.5,0,0.0,286.5,92.0,318.5,92.0
169,58,0,0,1692011755300.63,41.828857421875,331.0,92.0,12.0,0,0.0,298.5,92.0,331.5,92.0
170,58,0,0,1692011755331.095,30.465087890625,344.0,92.0,13.0,0,0.5,311.0,91.5,343.0,92.0
171,58,0,0,1692011755363.171,32.075927734375,356.0,91.5,12.01,0,0.0,323.0,92.0,357.0,92.0
172,58,0,0,1692011755399.279,36.108154296875,368.5,91.5,12.5,0,1.0,336.0,91.0,368.0,91.0
173,58,0,0,1692011755430.8,31.52099609375,381.0,91.5,12.5,0,0.12489163413653925,347.0,92.0,381.0,91.5
174,58,0,0,1692011755462.76,31.9599609375,395.0,91.5,14.0,0,0.5,361.0,92.0,393.5,91.5
175,58,0,0,1692011755499.123,36.363037109375,407.0,91.5,12.0,0,0.0,375.0,91.5,409.0,91.5
176,58,1,0,1692011755530.794,31.6708984375,421.0,91.0,14.009,0,0.5,388.5,91.0,419.0,91.5
177,58,0,2,1692011755559.962,29.16796875,435.0,91.0,14.0,0,0.5,401.5,91.0,435.0,90.5
178,58,0,0,1692011755596.817,36.85498046875,448.5,91.0,13.5,0,0.2141491830744688,415.0,91.0,449.0,91.0
179,58,0,0,1692011755628.893,32.076171875,461.0,93.5,12.748,0,1.0,428.5,90.0,462.0,91.0
180,58,0,0,1692011755665.188,36.294921875,474.0,97.5,13.601,0,1.0,441.0,90.0,473.5,96.0
181,58,0,0,1692011755704.287,39.09912109375,486.0,103.0,13.2,0,1.961161351381832,456.0,90.5,487.0,101.5
182,58,0,0,1692011755733.687,29.39990234375,497.0,110.0,13.038,0,3.308465799422133,469.0,92.5,498.0,108.5
183,58,0,0,1692011755762.519,28.83203125,505.0,118.0,11.314,0,4.734712619241068,481.0,95.5,508.0,117.0
184,58,0,0,1692011755799.523,37.00390625,513.0,126.5,11.673,0,5.867282164682374,493.0,100.5,513.0,126.0
185,58,0,0,1692011755835.11,35.587158203125,518.5,135.0,10.124,0,7.7781745930520225,504.0,106.0,521.0,135.0
186,58,0,0,1692011755863.793,28.682861328125,523.0,143.5,9.618,1,8.88832344022098,512.5,113.0,524.0,143.5
187,58,0,0,1692011755902.281,38.488037109375,526.0,152.5,9.487,1,9.219544457292887,520.0,120.5,527.5,152.0
188,58,0,0,1692011755933.139,30.85791015625,530.0,161.5,9.849,1,9.55628384758476,526.0,129.0,529.0,161.5
189,58,0,0,1692011755965.267,32.128173828125,532.0,169.5,8.246,1,9.669679555326681,530.5,137.0,534.0,170.5
190,58,0,0,1692011756002.044,36.77685546875,532.5,178.5,9.014,1,9.96117462953044,534.0,145.0,534.0,177.5
191,58,0,0,1692011756034.577,32.532958984375,534.0,186.5,8.139,1,8.98581356143254,536.5,154.0,533.0,187.5
192,58,0,0,1692011756065.869,31.2919921875,534.0,195.0,8.5,0,7.639872188644453,538.0,162.0,535.5,194.5
193,58,0,0,1692011756103.483,37.614013671875,533.5,202.5,7.517,0,6.96148746262659,539.0,170.0,534.0,203.5
194,58,0,0,1692011756133.409,29.926025390625,532.0,211.0,8.631,0,5.405797028138739,538.0,178.5,533.0,210.0
195,58,0,0,1692011756160.649,27.239990234375,530.0,219.5,8.732,0,3.0,537.0,187.5,530.5,219.5
196,58,0,0,1692011756201.629,40.97998046875,526.5,228.0,9.192,0,1.5631967473086439,535.5,196.0,528.0,228.0
197,58,0,0,1692011756234.635,33.006103515625,523.0,236.5,9.192,0,1.9985313399540747,535.0,205.5,523.0,236.5
198,58,0,0,1692011756265.926,31.291015625,518.5,244.5,9.179,0,1.889574503235752,533.0,215.0,519.5,245.0
199,58,0,0,1692011756303.475,37.549072265625,513.0,252.0,9.301,0,0.979070927796755,529.0,224.5,514.0,252.5
200,58,0,0,1692011756333.11,29.635009765625,507.0,259.0,9.22,0,2.5564629781359316,527.0,233.5,507.5,259.5
201,58,0,0,1692011756366.045,32.934814453125,499.5,265.5,9.925,0,3.431828677427908,523.0,243.5,501.0,266.0
202,58,0,0,1692011756399.192,33.14697265625,492.0,271.5,9.605,0,2.9299381516090546,517.0,251.5,492.0,272.0
203,58,0,0,1692011756434.629,35.43701171875,484.0,276.5,9.434,0,3.3624220961891766,511.0,259.5,484.5,277.5
204,58,0,0,1692011756465.32,30.691162109375,476.0,280.5,8.944,0,3.979962502693045,505.0,266.0,476.0,281.5
205,58,0,0,1692011756503.077,37.7568359375,468.0,284.5,8.944,0,3.9043440472151607,497.0,272.5,468.0,284.5
206,58,0,0,1692011756534.175,31.09814453125,458.0,287.0,10.308,0,2.9679940640178444,488.0,277.5,460.0,288.5
207,58,0,0,1692011756567.274,33.098876953125,449.0,289.5,9.341,0,3.3541019662496847,479.5,282.5,448.0,289.5
208,58,0,0,1692011756602.039,34.76513671875,439.0,290.5,10.05,0,2.4596747752497685,469.5,286.5,440.0,292.0
209,58,0,3,1692011756634.147,32.10791015625,429.0,291.5,10.05,0,2.910427500435982,460.0,289.5,429.0,291.5
210,58,0,0,1692011756665.22,31.072998046875,419.0,291.0,10.012,0,2.1946796830459454,450.0,291.5,419.0,292.5
211,58,0,0,1692011756702.622,37.402099609375,408.5,290.5,10.512,0,2.437841116014462,438.5,293.0,409.0,290.5
212,58,0,0,1692011756733.782,31.159912109375,398.0,290.5,10.5,0,2.0,429.0,293.5,398.0,290.0
