Frame,PWM,Meta,Tiempo vuelta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
111,50,0,,0,1693663044699.436,29.155029296875,379.0,241.0,6.946,0,0.8944271909999159,409.0,256.5
112,50,0,,0,1693663044731.168,31.73193359375,374.0,238.5,5.59,0,0.6923076923077011,403.0,254.0
113,50,0,,0,1693663044767.725,36.55712890625,369.0,235.5,5.831,0,0.9011551125709213,398.0,251.0
114,50,0,,0,1693663044803.245,35.52001953125,363.0,233.5,6.325,0,0.8944271909999159,393.0,248.0
115,50,0,,0,1693663044835.325,32.079833984375,357.5,230.0,6.519,0,0.6002450479987712,387.0,245.0
116,50,0,,0,1693663044868.963,33.637939453125,353.0,227.5,5.148,0,0.6478341756738168,382.0,242.0
117,50,0,,0,1693663044900.405,31.442138671875,347.0,224.5,6.708,0,0.4472135954999579,377.0,239.5
118,50,0,,0,1693663044933.174,32.76904296875,343.0,221.5,5.0,0,0.2572478777137584,372.0,237.0
119,50,0,,0,1693663044964.347,31.1728515625,337.0,218.5,6.708,0,0.7905694150420949,367.0,234.0
120,50,0,,0,1693663044999.931,35.583984375,332.0,215.5,5.831,0,1.5722782271371138,362.0,231.0
121,50,0,,0,1693663045032.26,32.3291015625,327.0,213.5,5.385,0,1.554057379771617,358.0,228.5
122,50,0,,0,1693663045065.536,33.27587890625,323.0,210.0,5.315,0,1.3416407864998738,353.0,226.0
123,50,0,,0,1693663045100.006,34.47021484375,319.0,207.5,4.717,0,1.5652475842498528,348.5,223.5
124,50,0,,0,1693663045132.279,32.27294921875,313.0,205.5,6.325,0,0.4472135954999579,343.0,221.0
125,50,0,,0,1693663045164.937,32.657958984375,309.0,202.0,5.315,0,1.118033988749895,338.5,218.0
126,50,0,,0,1693663045200.726,35.7890625,303.0,199.5,6.5,0,0.9432422182838084,333.0,215.0
127,50,0,,0,1693663045236.158,35.431884765625,299.0,196.5,5.0,0,1.1288650420603115,327.0,212.0
128,50,0,,0,1693663045268.733,32.574951171875,293.0,193.0,6.946,0,0.31799936400191403,322.0,209.0
129,50,0,,0,1693663045302.564,33.8310546875,287.0,190.5,6.5,0,0.7905694150420949,317.0,206.0
130,50,0,,0,1693663045331.722,29.157958984375,281.0,187.0,6.946,0,0.5644325210301852,311.0,203.0
131,50,0,,0,1693663045364.213,32.490966796875,275.0,183.0,7.211,0,1.2307692307692308,305.0,199.0
132,50,0,,0,1693663045399.974,35.76123046875,268.0,180.0,7.616,0,0.8637789008984293,299.0,195.5
133,50,0,,0,1693663045433.826,33.851806640625,262.0,176.0,7.211,0,0.3076923076923208,291.0,192.5
134,50,0,,0,1693663045466.983,33.156982421875,255.0,172.5,7.826,0,0.21594472522458788,284.0,188.5
135,50,0,,0,1693663045504.069,37.086181640625,249.0,168.5,7.211,0,0.9707253433941667,279.0,184.5
136,50,0,,0,1693663045535.77,31.700927734375,242.0,164.5,8.062,0,0.4595725150090327,271.5,181.0
137,50,0,,0,1693663045568.516,32.74609375,235.0,160.5,8.062,0,0.832050294337828,265.0,177.0
138,50,0,,0,1693663045603.635,35.118896484375,229.0,156.5,7.211,0,1.3416407864998738,259.0,173.0
139,50,0,,0,1693663045635.481,31.845947265625,221.0,152.5,8.944,0,0.2773500981126146,250.0,169.5
140,50,0,,0,1693663045667.399,31.91796875,215.0,148.5,7.211,0,0.7442084075352543,243.5,164.5
141,50,0,,0,1693663045703.179,35.780029296875,207.0,144.0,9.179,0,0.9302605094190705,236.0,160.0
142,50,0,,0,1693663045735.397,32.218017578125,199.0,139.5,9.179,0,0.4472135954999579,228.0,155.5
143,50,0,,0,1693663045767.736,32.339111328125,191.0,134.0,9.708,0,1.2480754415067656,221.0,151.0
144,50,0,,0,1693663045803.827,36.0908203125,183.0,129.5,9.179,0,1.1984163635462506,213.0,146.0
145,50,0,,0,1693663045836.054,32.22705078125,175.0,124.0,9.708,0,1.1984163635462506,205.0,141.5
146,50,0,,4,1693663045867.82,31.76611328125,167.0,119.5,9.179,0,1.1845602660365924,196.0,136.0
147,50,0,,0,1693663045899.714,31.89404296875,159.0,115.5,8.944,0,1.1439428924759647,188.0,131.0
148,50,0,,0,1693663045931.53,31.81591796875,150.0,114.0,9.124,0,0.9012958545930583,179.5,126.0
149,50,0,,0,1693663045963.688,32.157958984375,140.0,113.0,10.05,0,0.4630245040974137,171.5,121.5
150,50,0,,0,1693663045999.76,36.072021484375,131.0,113.5,9.014,0,0.4472135954999579,163.0,117.0
151,50,0,,0,1693663046031.986,32.22607421875,123.5,116.0,7.906,0,1.8083888603589349,155.0,113.0
152,50,0,,0,1693663046063.61,31.6240234375,115.0,119.0,9.014,0,3.084615289650972,146.0,110.5
153,50,0,,0,1693663046104.167,40.556884765625,109.0,123.5,7.5,0,2.662560941881098,137.0,110.5
154,50,0,,0,1693663046136.176,32.009033203125,101.0,128.0,9.179,0,2.055480479109451,129.0,112.0
155,50,0,,0,1693663046164.626,28.449951171875,95.0,134.5,8.846,0,2.24653579471217,121.0,114.5
156,50,0,,0,1693663046203.375,38.7490234375,90.0,141.0,8.201,0,1.1999999999999944,113.0,119.0
157,50,0,,0,1693663046236.608,33.23291015625,86.0,148.5,8.5,0,1.5252571899679581,105.0,124.0
158,50,0,,0,1693663046267.786,31.177978515625,83.0,157.0,9.014,0,0.4521867351553796,99.0,129.5
159,50,0,,0,1693663046299.514,31.72802734375,81.0,165.5,8.732,0,0.853595065189565,92.0,137.0
160,50,0,,0,1693663046332.01,32.49609375,81.0,175.0,9.5,0,1.2352941176470564,87.0,144.0
161,50,0,,0,1693663046363.582,31.572021484375,81.0,184.5,9.5,0,1.4976905298081147,83.0,152.5
162,50,0,,0,1693663046402.065,38.48291015625,82.5,193.0,8.631,0,1.0306770017649636,81.0,161.0
163,50,0,,0,1693663046435.261,33.196044921875,84.0,202.5,9.618,0,2.0,79.0,171.0
164,50,0,,0,1693663046467.374,32.113037109375,88.0,210.5,8.944,0,2.0,79.0,179.5
165,50,0,,0,1693663046503.207,35.8330078125,92.0,218.5,8.944,0,1.766817561408652,80.0,189.0
166,50,0,,0,1693663046533.452,30.244873046875,97.5,226.0,9.301,0,1.273694350029586,82.0,198.0
167,50,0,,0,1693663046567.262,33.81005859375,103.0,232.0,8.139,0,0.4472135954999579,85.5,206.5
168,50,0,,0,1693663046602.989,35.72705078125,110.0,237.5,8.902,0,1.118033988749895,88.5,214.0
